nama,harga,kategori
Cloris Men Cloris Soap Sabun Cloris Sabun Cuci Muka Pria Sabun Jerawat Pria,50000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Facial Wash Reglow Sabun Cuci Muka Reglow Cleanser Reglow Skincare,85000,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
Promo - Original Sabun Cuci Muka Pria Cloris Men Soap Acne Jerawat Flek Kusam,35000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Fair & Lovely Facial Foam 50gr & 100gr Sabun Cuci Muka / Sabun Wajah Vitamin,14400,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
REAL WHITE Niacinamide Collagen Face Wash  BPOM HALAL Sabun Cuci Muka Pembersih Kulit Wajah Cleanser,62700,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
MS Glow For Men Energizer Facial Wash - Sabun Cuci Muka Pria,46900,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
Cloris Men Cloris Soap Sabun Cloris Sabun Cuci Muka Pria Sabun Jerawat Pria,50000,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
MS Glow Men Facial Wash 100 ml Sabun Wajah Sabun Cuci Muka MS Glow Men,48500,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
BPOM KLEVERU Sea Buckthorn Cleansing Gel Facial Wash Sabun Cuci Muka Kleveru Sabun Wajah 100ml Ori,68999,"{'id': 2278, 'name': 'Pembersih Wajah Wanita', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Wanita'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-wanita'}"
DayMan Facial Wash - Scrub Extra Cooling 100 ml - Sabun Cuci Muka,28840,"{'id': 2281, 'name': 'Pembersih Wajah Pria', 'structure': ['Perawatan & Kecantikan', 'Perawatan Wajah', 'Pembersih Wajah Pria'], 'url': 'https://www.bukalapak.com/c/perawatan-kecantikan/perawatan-wajah/pembersih-wajah-pria'}"
